distance,battery,voltage,time,year,month,day
590.4602661132812,0.8550000190734863,4.019000053405762,2021-05-02 15:44:05,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
562.499755859375,0.8550000190734863,4.017000198364259,2021-05-02 15:52:02,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
562.499755859375,0.8550000190734863,4.017000198364259,2021-05-02 15:52:07,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2242.59765625,0.8479999899864197,4.014999866485597,2021-05-02 16:15:54,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2242.59765625,0.8479999899864197,4.014999866485597,2021-05-02 16:16:00,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
548.5194702148439,0.8510000109672546,4.0159997940063485,2021-05-02 16:31:53,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
548.5194702148439,0.8510000109672546,4.0159997940063485,2021-05-02 16:31:58,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
548.5194702148439,0.8510000109672546,4.0159997940063485,2021-05-02 16:32:03,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
548.5194702148439,0.8510000109672546,4.0159997940063485,2021-05-02 16:32:08,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
546.874755859375,0.8450000286102295,4.01200008392334,2021-05-02 16:39:59,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
546.874755859375,0.8450000286102295,4.01200008392334,2021-05-02 16:40:04,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
528.7826538085939,0.8529999852180481,4.017000198364259,2021-05-02 17:11:53,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
528.7826538085939,0.8529999852180481,4.017000198364259,2021-05-02 17:11:58,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
541.9405517578125,0.8450000286102295,4.013000011444092,2021-05-02 17:27:51,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
541.9405517578125,0.8450000286102295,4.013000011444092,2021-05-02 17:27:57,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
550.986572265625,0.8450000286102295,4.013000011444092,2021-05-02 17:51:52,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
550.986572265625,0.8450000286102295,4.013000011444092,2021-05-02 17:51:58,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
541.9405517578125,0.8460000157356262,4.013000011444092,2021-05-02 17:59:46,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
541.9405517578125,0.8460000157356262,4.013000011444092,2021-05-02 17:59:51,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
565.7891845703125,0.8500000238418579,4.0159997940063485,2021-05-02 18:07:51,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
565.7891845703125,0.8500000238418579,4.0159997940063485,2021-05-02 18:07:56,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
545.22998046875,0.8429999947547913,4.01200008392334,2021-05-02 18:23:48,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
545.22998046875,0.8429999947547913,4.01200008392334,2021-05-02 18:23:53,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
550.986572265625,0.8489999771118164,4.0159997940063485,2021-05-02 18:31:47,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
550.986572265625,0.8489999771118164,4.0159997940063485,2021-05-02 18:31:52,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
540.2957763671875,0.8500000238418579,4.0159997940063485,2021-05-02 18:39:41,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
540.2957763671875,0.8500000238418579,4.0159997940063485,2021-05-02 18:39:46,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
514.8023681640625,0.8510000109672546,4.0159997940063485,2021-05-02 18:47:40,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
514.8023681640625,0.8510000109672546,4.0159997940063485,2021-05-02 18:47:46,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
518.0918579101561,0.843999981880188,4.01200008392334,2021-05-02 18:55:45,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
518.0918579101561,0.843999981880188,4.01200008392334,2021-05-02 18:55:51,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
560.0326538085939,0.8410000205039978,4.011000156402588,2021-05-02 19:03:39,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
560.0326538085939,0.8410000205039978,4.011000156402588,2021-05-02 19:03:44,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
560.0326538085939,0.8410000205039978,4.011000156402588,2021-05-02 19:03:49,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
560.0326538085939,0.8410000205039978,4.011000156402588,2021-05-02 19:03:55,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8489999771118164,4.0159997940063485,2021-05-02 19:35:36,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8489999771118164,4.0159997940063485,2021-05-02 19:35:42,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
311.677490234375,0.8420000076293945,4.01200008392334,2021-05-02 19:51:42,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
311.677490234375,0.8420000076293945,4.01200008392334,2021-05-02 19:51:47,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
301.8090515136719,0.8420000076293945,4.010000228881837,2021-05-02 20:07:41,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
301.8090515136719,0.8420000076293945,4.010000228881837,2021-05-02 20:07:47,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
694.07861328125,0.8389999866485596,4.008999824523927,2021-05-02 20:15:34,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
694.07861328125,0.8389999866485596,4.008999824523927,2021-05-02 20:15:39,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8460000157356262,4.013000011444092,2021-05-02 20:31:39,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8460000157356262,4.013000011444092,2021-05-02 20:31:44,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2182.564697265625,0.8389999866485596,4.008999824523927,2021-05-02 21:11:33,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2182.564697265625,0.8389999866485596,4.008999824523927,2021-05-02 21:11:38,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2182.564697265625,0.8389999866485596,4.008999824523927,2021-05-02 21:11:43,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2182.564697265625,0.8389999866485596,4.008999824523927,2021-05-02 21:11:47,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2297.6962890625,0.8339999914169312,4.005000114440918,2021-05-02 21:35:29,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2297.6962890625,0.8339999914169312,4.005000114440918,2021-05-02 21:35:33,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2276.314697265625,0.8360000252723694,4.00600004196167,2021-05-02 21:43:28,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
2276.314697265625,0.8360000252723694,4.00600004196167,2021-05-02 21:43:32,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8370000123977661,4.007999897003174,2021-05-02 21:59:26,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8370000123977661,4.007999897003174,2021-05-02 21:59:31,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8339999914169312,4.005000114440918,2021-05-02 22:23:31,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.8339999914169312,4.005000114440918,2021-05-02 22:23:35,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
3367.59716796875,0.847000002861023,4.014999866485597,2021-05-02 22:39:30,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005
